strike,bid,ask,openInterest,impliedVolatility
615,160.37,163.89,20,0.4069
620,155.69,159.15,9,0.40020000000000006
625,150.63,154.15,4,0.3893
630,145.96,149.42,780,0.3826
635,141.1,144.5,138,0.3728
640,136.26,139.65,301,0.3641
645,125.27,128.04,68,0.2262
650,126.57,129.91,2044,0.34590000000000004
655,121.76,125.16,16,0.3383
660,116.79,120.29,170,0.32899999999999996
665,112.09,115.49,86,0.32049999999999995
670,107.31,110.71,455,0.3121
675,102.62,105.96,77,0.304
680,97.84,101.21,648,0.2957
685,93.15,96.49,301,0.2875
690,88.45,91.79,1387,0.27940000000000004
695,83.77,87.11,119,0.27140000000000003
700,79.04,82.42,6116,0.26289999999999997
705,74.51,77.85,248,0.2555
710,69.83,73.27,424,0.2477
715,65.35,68.74,68,0.24
720,61.0,64.23,1872,0.2321
725,56.49,58.31,1578,0.2115
730,52.07,55.48,1776,0.21760000000000002
735,49.3,51.22,1835,0.21059999999999998
740,45.03,46.56,2823,0.1999
745,40.88,42.79,2317,0.1957
750,36.98,38.89,6253,0.1898
755,32.0,33.56,1731,0.1725
760,29.61,29.86,5166,0.1666
765,26.06,26.3,5698,0.1607
770,22.8,22.99,5925,0.1555
775,19.77,19.8,7964,0.15
780,16.89,16.92,8584,0.14529999999999998
785,14.25,14.29,6252,0.141
790,11.93,11.97,6780,0.1373
795,9.87,9.9,4072,0.13390000000000002
800,8.09,8.12,2930,0.1311
805,6.54,6.56,3286,0.1284
810,5.26,5.27,6834,0.1263
815,4.15,4.17,2949,0.1242
820,3.28,3.3,2955,0.12279999999999999
825,2.55,2.58,4495,0.1216
830,1.97,1.98,3268,0.1202
835,1.53,1.55,949,0.1198
840,1.16,1.18,553,0.11900000000000001
845,0.91,0.93,815,0.1193
850,0.7,0.71,3625,0.11900000000000001
855,0.55,0.57,986,0.1199
860,0.44,0.46,748,0.121
865,0.36,0.38,706,0.1226
870,0.29,0.3,235,0.1233
875,0.24,0.25,23124,0.125
880,0.21,0.22,1100,0.1276
885,0.17,0.18,753,0.1288
890,0.15,0.16,778,0.13140000000000002
895,0.13,0.14,993,0.1336
900,0.11,0.12,2303,0.1355
905,0.09,0.1,1202,0.1367
910,0.09,0.1,242,0.1411
915,0.07,0.08,232,0.1416
