strike,bid,ask,openInterest,impliedVolatility
690,76.19,79.42,1,0.2878
700,66.5,69.82,3,0.2666
705,61.75,65.07,10,0.2563
710,57.02,60.35,3,0.246
715,53.69,55.67,11,0.2358
728,42.04,42.35,5,0.1905
734,36.79,37.1,1,0.1814
735,35.91,36.21,255,0.1795
738,33.28,33.59,5,0.1742
740,31.55,32.98,222,0.1843
746,26.73,26.95,1,0.1619
750,23.52,23.72,230,0.1552
752,21.95,22.19,2,0.1524
753,21.22,21.43,2,0.1509
755,19.75,19.93,22,0.1478
756,19.04,19.24,2,0.1468
757,18.29,18.49,4,0.145
758,17.58,17.78,1203,0.1436
759,16.92,17.11,2,0.1425
760,16.15,16.31,183,0.1399
763,14.23,14.39,1220,0.1366
764,13.68,13.71,49,0.1348
765,13.08,13.12,225,0.1339
766,12.46,12.5,93,0.1325
767,11.87,11.9,109,0.1312
768,11.32,11.35,212,0.1303
769,10.71,10.73,60,0.1285
770,10.18,10.21,137,0.1276
771,9.6,9.63,41,0.126
772,9.11,9.14,57,0.1251
773,8.66,8.69,81,0.1246
774,8.13,8.15,148,0.1229
775,7.71,7.74,256,0.1224
776,7.21,7.23,95,0.1208
777,6.82,6.85,51,0.1204
778,6.36,6.39,155,0.1189
779,5.96,5.99,38,0.118
780,5.61,5.63,198,0.1173
781,5.22,5.24,257,0.1162
782,4.88,4.91,18,0.1155
783,4.55,4.57,89,0.1146
784,4.25,4.27,117,0.114
785,3.94,3.96,218,0.1131
786,3.64,3.67,28,0.1123
787,3.38,3.4,48,0.1115
788,3.13,3.15,62,0.1108
789,2.89,2.91,117,0.1102
790,2.67,2.69,136,0.1096
791,2.46,2.48,24,0.109
792,2.24,2.27,29,0.1082
793,2.1,2.12,567,0.1082
794,1.93,1.95,16,0.1077
795,1.77,1.8,430,0.1074
796,1.61,1.64,319,0.1067
797,1.48,1.5,207,0.1062
798,1.36,1.38,17,0.106
799,1.25,1.27,27,0.1058
800,1.14,1.15,719,0.1052
801,1.04,1.05,192,0.1048
802,0.94,0.96,40,0.1046
803,0.87,0.88,52,0.1044
804,0.78,0.79,86,0.1038
805,0.71,0.72,151,0.1036
806,0.66,0.68,32,0.1043
807,0.59,0.61,76,0.1038
808,0.54,0.55,169,0.1034
809,0.5,0.52,20,0.1041
810,0.45,0.46,81,0.1034
811,0.41,0.43,11,0.1039
812,0.39,0.4,39,0.1043
813,0.35,0.36,2,0.104
814,0.32,0.33,61,0.104
815,0.3,0.31,149,0.1046
817,0.25,0.26,10,0.1049
818,0.23,0.24,12,0.1051
819,0.22,0.23,10,0.106
820,0.2,0.21,89,0.106
823,0.16,0.17,3,0.1073
825,0.14,0.15,42,0.1084
830,0.1,0.11,73,0.1108
835,0.08,0.09,133,0.115
840,0.06,0.07,14,0.1182
850,0.04,0.05,131,0.1265
860,0.03,0.04,24,0.1358
865,0.02,0.03,28,0.1377
